unique_ID,SMILES,InChI,pka_type,pka_value,T,remarks,method,assessment,ref,ref_remarks,entry_remarks,original_IUPAC_names,name_contributors,num_name_contributors,original_IUPAC_nicknames,source,pressure,acidity_label,original_T,solvent
perrin_supp8250,NNc1cccc2ccccc12,"InChI=1S/C10H10N2/c11-12-10-7-3-5-8-4-1-2-6-9(8)10/h1-7,12H,11H2",pKaH1,5.06,25,,O5,Approximate,F7,,,"hydrazine, naphthyl-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin_supp,,AH,,
perrin_supp4927,Nc1cccc2cccc(N)c12,"InChI=1S/C10H10N2/c11-8-5-1-3-7-4-2-6-9(12)10(7)8/h1-6H,11-12H2",pKaH1,4.44,25,"In 10% aq. ethanol, C=0.01M",E,Uncertain,P45,,,"Naphthalene, 1,8-diamino-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin_supp,,AH,25+1,aq. ethanol
perrin915,Nc1ccc(N)c2ccccc12,"InChI=1S/C10H10N2/c11-9-5-6-10(12)8-4-2-1-3-7(8)9/h1-6H,11-12H2",pKaH1,5.87,25,"I=0.3, ""mixed"" constant",Method not stated,Uncertain,H66,,,"naphthalene, 1,4-diamino-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,AH,,
perrin_supp4926,Nc1ccc2ccccc2c1N,"InChI=1S/C10H10N2/c11-9-6-5-7-3-1-2-4-8(7)10(9)12/h1-6H,11-12H2",pKaH1,4.76,25,"In 10% aq. ethanol, C=0.01M",E,Uncertain,P45,,,"Naphthalene, 1,2-diamino-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin_supp,,AH,25+1,aq. ethanol
perrin918,Nc1cc(N)c2ccccc2c1O,"InChI=1S/C10H10N2O/c11-8-5-9(12)10(13)7-4-2-1-3-6(7)8/h1-5,13H,11-12H2",pKaH1,4.7,25,"Solutious 0.2M in buffer and 0.1M in KCl, concentration constants",pH-dependence of oxidn.-redn. potentials,Uncertain,F17,,,"naphthalene, 1,3-diamino-4-hydroxy-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,AH,,
perrin_supp6615,Cc1cc2cc([N+](=O)[O-])ccc2n1C,"InChI=1S/C10H10N2O2/c1-7-5-8-6-9(12(13)14)3-4-10(8)11(7)2/h3-6H,1-2H3",pKaH1,-2.94,25,In aq. H2SO4 solutions,O6,Uncertain,H37,,,"indole, 1,2-dimethyl-5-nitro-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin_supp,,AH,,H2SO4
perrin1385,C1=C(c2ccccc2)NCC1,"InChI=1S/C10H11N/c1-2-5-9(6-3-1)10-7-4-8-11-10/h1-3,5-7,11H,4,8H2",pKaH1,6.69 to 6.84,25,C=0.02,E3dg,Uncertain,S69,,,"2-Pyrroline, 2-phenyl-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,AH,,
perrin2329,CN(C)c1cnc2ccccc2n1,"InChI=1S/C10H11N3/c1-13(2)10-7-11-8-5-3-4-6-9(8)12-10/h3-7H,1-2H3",pKaH1,3.69,25,"C=0.01, in 10% ethanol solution
Transcription note: pKa tabulated in parentheses i.e. (3.69)",E3bg,Uncertain,C23,,,"quinoxaline, 2-dimethylamino-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,AH,,ethanol
perrin_supp6892,Cc1nc2ccc(N)cc2nc1C,"InChI=1S/C10H11N3/c1-6-7(2)13-10-5-8(11)3-4-9(10)12-6/h3-5H,11H2,1-2H3",pKaH1,3.44,25,"C=1.5x10-4M, in aq. H2SO4 solutions",O6,Approximate,V8,,,"quinoxaline, 6-amino-2,3-dimethyl-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin_supp,,AH,,H2SO4
perrin_supp6891,Cc1nc2cccc(N)c2nc1C,"InChI=1S/C10H11N3/c1-6-7(2)13-10-8(11)4-3-5-9(10)12-6/h3-5H,11H2,1-2H3",pKaH1,3.27,25,In aq. H2SO4 solutions,O5,Approximate,V5,,,"quinoxaline, 5-amino-2,3-dimethyl-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin_supp,,AH,,H2SO4
perrin_supp6520,NNc1nc(=O)c(Cc2ccccc2)n[nH]1,"InChI=1S/C10H11N5O/c11-13-10-12-9(16)8(14-15-10)6-7-4-2-1-3-5-7/h1-5H,6,11H2,(H2,12,13,15,16)",pKaH1,2.82,25,C=10-2M,E3bg,Uncertain,K5,,,"1,2,4-Triazine, 6-benzyl-3-hydrazino-2,5-dihydro-5-oxo-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin_supp,,AH,,
perrin3263,CC(=O)c1cccc(NCC(=O)O)c1,"InChI=1S/C10H11NO3/c1-7(12)8-3-2-4-9(5-8)11-6-10(13)14/h2-5,11H,6H2,1H3,(H,13,14)",pKaH1,1.14,25,C=4x10-4,O6,Approximate,S41,,,"phenylglycine, m-acetyl-","['OPSIN_name1', 'manual_only_one']",2,,perrin,,AH,,
perrin_supp5742,CN1NC(=O)CC1c1ccccc1,"InChI=1S/C10H12N2O/c1-12-9(7-10(13)11-12)8-5-3-2-4-6-8/h2-6,9H,7H2,1H3,(H,11,13)",pKaH1,2.05,25,"C=10-4M, aq. HCl solutions, 1% CH3OH",O5,Uncertain,Z1a,,,"pyrazole, tetrahydro-1-methyl-3-oxo-5-phenyl-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin_supp,,AH,Room,1% CH3OH and HCl
perrin_supp5745,CC1CC(=O)NN1c1ccccc1,"InChI=1S/C10H12N2O/c1-8-7-10(13)11-12(8)9-5-3-2-4-6-9/h2-6,8H,7H2,1H3,(H,11,13)",pKaH1,-0.2,25,"C=10-4M, aq. HCl solutions, 1% CH3OH",O6,Uncertain,Z1a,,,"pyrazole, tetrahydro-5-methyl-3-oxo-1-phenyl-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin_supp,,AH,Room,1% CH3OH and HCl
perrin_supp5746,CC1CC(=O)N(c2ccccc2)N1,"InChI=1S/C10H12N2O/c1-8-7-10(13)12(11-8)9-5-3-2-4-6-9/h2-6,8,11H,7H2,1H3",pKaH1,1.45,25,"C=10-4M, aq. HCl solutions, 1% CH3OH",O6,Uncertain,Z1a,,,"pyrazole, tetrahydro-5-methyl-3-oxo-2-phenyl-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin_supp,,AH,Room,1% CH3OH and HCl
perrin_supp5744,CC1CNN(c2ccccc2)C1=O,"InChI=1S/C10H12N2O/c1-8-7-11-12(10(8)13)9-5-3-2-4-6-9/h2-6,8,11H,7H2,1H3",pKaH1,1.51,25,"C=10-4M, aq. HCl solutions, 1% CH3OH",O6,Uncertain,Z1a,,,"pyrazole, tetrahydro-4-methyl-3-oxo-2-phenyl-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin_supp,,AH,Room,1% CH3OH and HCl
perrin_supp5743,CC1CN(c2ccccc2)NC1=O,"InChI=1S/C10H12N2O/c1-8-7-12(11-10(8)13)9-5-3-2-4-6-9/h2-6,8H,7H2,1H3,(H,11,13)",pKaH1,-0.5,25,"C=10-4M, aq. HCl solutions, 1% CH3OH",O6,Uncertain,Z1a,,,"pyrazole, tetrahydro-4-methyl-3-oxo-1-phenyl-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin_supp,,AH,Room,1% CH3OH and HCl
perrin3281,CCOC(=O)CNc1cccc([N+](=O)[O-])c1,"InChI=1S/C10H12N2O4/c1-2-16-10(13)7-11-8-4-3-5-9(6-8)12(14)15/h3-6,11H,2,7H2,1H3",pKaH1,-0.17,25,C=10-4,O6,Approximate,S41,,,"phenylglycine, m-nitro- ethyl ester-",['manual_no_smiles'],1,,perrin,,AH,,
serjeant5188,O=C(O)CN(CC(=O)O)Cc1ccccn1,"InChI=1S/C10H12N2O4/c13-9(14)6-12(7-10(15)16)5-8-3-1-2-4-11-8/h1-4H,5-7H2,(H,13,14)(H,15,16)",pKaH1,3.06,25,"C=0.01, I=0.1(KCl), concentration constants",E3bg,Approximate,S97,,,"3-Azapentanedioic acid, 3-(2-pyridylmethyl)-","['OPSIN_name1', 'chemaxon_name1', 'chemaxon_nickname1']",3,"Iminodiacetic acid, N-(2-pyridylmethyl)",serjeant,,AH,,
